"Method","Scenario","Unit","App_N","Reference","Reference_Raw_N","Reference_Rounded_N","Difference_vs_Rounded","Percent_Diff","Evidence","Verdict","Note"
"GEE","continuous, two groups, d=.50, 3 repeated time points, exchangeable rho=.30","participants per group",103,"Independent t-test + repeated-measures design effect",101.435,103,0,0,"reference formula","match","App multiplies rounded independent two-sample n by DE=1+(m-1)rho, then rounds again. This is a planning approximation, not a full GEE package calculation."
"LMM","two-group repeated slope/change, d=.50, 3 time points, ICC/correlation=.30, power=.95","participants per group",146,"longpower::diggle.linear.power",145.541,146,0,0,"package","match","App simple two-group LMM now uses longpower::diggle.linear.power; differences should be limited to rounding."
"Survival / Cox","HR=.70, overall event probability=.40, allocation 1:1","total participants",618,"Schoenfeld event-based formula",616.968,618,0,0,"reference formula","match","App uses the Schoenfeld event-based approximation, then rounds allocation-specific group sizes and sums them."
"Equivalence / TOST","two independent means, equivalence margin=.50 SD, true difference=0","participants per group",70,"TOSTER::power_t_TOST",69.198,70,0,0,"package","match","App mean equivalence now uses exact t-based TOSTER::power_t_TOST; differences should be limited to rounding."
"Diagnostic accuracy","sensitivity=.80, specificity=.90, prevalence=.20, absolute precision=.05","total participants",1230,"epiR::epi.ssdxsesp",1230,1230,0,0,"package","match","epiR returns the maximum total N needed for sensitivity/specificity precision; this scenario is driven by sensitivity and matches the app sensitivity calculation."
"ROC AUC","AUC=.70 vs null AUC=.50, case/control ratio=1","cases",28,"No direct installed package comparator",NA,NA,NA,NA,"not available","not directly comparable","App uses Hanley-McNeil AUC variance. Installed packages did not expose a direct one-AUC sample-size API for this scenario."
"Count / rates","two Poisson rates, rate1=1.0, rate2=1.5, allocation 1:1","person-time per group",79,"Wald two-rate formula",78.489,79,0,0,"reference formula","match","This is the same Wald rate approximation implemented by the app."
"Cluster trial","parallel CRT, continuous d=.50, cluster size=20, ICC=.05","clusters total",16,"WebPower::wp.crt2arm",14.443,16,0,0,"package","match","App continuous parallel CRT now uses WebPower::wp.crt2arm and rounds raw total clusters to balanced clusters per group."
"Precision / CI","mean CI half-width=.20, SD=1, confidence=.95","participants",97,"Normal CI precision formula",96.036,97,0,0,"reference formula","match","This is the same normal-approximation CI half-width formula implemented by the app."
"Reliability / agreement","ICC precision, expected ICC=.70, 3 raters, half-width=.10","subjects",36,"No direct installed package comparator",NA,NA,NA,NA,"not available","not directly comparable","ICC.Sample.Size targets ICC hypothesis-test power, while the app currently calculates CI-width precision."
"SEM / CFA","RMSEA close-fit test, H0 RMSEA=.05, H1 RMSEA=.08, df=50","participants",214,"WebPower::wp.sem.rmsea",213.395,214,0,0,"package","match","Both use MacCallum-style noncentral chi-square/RMSEA power; app rounds up."
